System,Stage,Domain,class,support,accuracy,accuracy_percent
S1,Step2,Domain2,alarm,130,0.7846153846153846,78.46
S1,Step2,Domain2,dog,23,0.8695652173913043,86.96
S1,Step2,Domain2,engine,69,0.7101449275362319,71.01
S1,Step2,Domain2,fire,36,0.4722222222222222,47.22
S1,Step2,Domain2,footsteps,49,0.8571428571428571,85.71
S1,Step2,Domain2,knock,36,0.8055555555555556,80.56
S1,Step2,Domain2,piano,97,0.7938144329896907,79.38
S1,Step2,Domain2,speech,199,0.8693467336683417,86.93
S1,Step3,Domain2,alarm,130,0.7923076923076923,79.23
S1,Step3,Domain2,dog,23,0.8695652173913043,86.96
S1,Step3,Domain2,engine,69,0.6521739130434783,65.22
S1,Step3,Domain2,fire,36,0.4722222222222222,47.22
S1,Step3,Domain2,footsteps,49,0.8775510204081632,87.76
S1,Step3,Domain2,knock,36,0.75,75.0
S1,Step3,Domain2,piano,97,0.865979381443299,86.6
S1,Step3,Domain2,speech,199,0.8743718592964824,87.44
S1,Step3,Domain3,alarm,62,0.8064516129032258,80.65
S1,Step3,Domain3,baby,24,0.0,0.0
S1,Step3,Domain3,dog,77,0.5844155844155844,58.44
S1,Step3,Domain3,engine,85,0.6941176470588235,69.41
S1,Step3,Domain3,fire,37,0.43243243243243246,43.24
S1,Step3,Domain3,footsteps,134,0.5298507462686567,52.99
S1,Step3,Domain3,piano,73,0.9178082191780822,91.78
S1,Step3,Domain3,speech,283,0.45936395759717313,45.94
S1,Step3,Domain3,phone,31,0.03225806451612903,3.23
S2,Step2,Domain2,alarm,130,0.7846153846153846,78.46
S2,Step2,Domain2,dog,23,0.8695652173913043,86.96
S2,Step2,Domain2,engine,69,0.7101449275362319,71.01
S2,Step2,Domain2,fire,36,0.4722222222222222,47.22
S2,Step2,Domain2,footsteps,49,0.8571428571428571,85.71
S2,Step2,Domain2,knock,36,0.8055555555555556,80.56
S2,Step2,Domain2,piano,97,0.7938144329896907,79.38
S2,Step2,Domain2,speech,199,0.8693467336683417,86.93
S2,Step3,Domain2,alarm,130,0.7846153846153846,78.46
S2,Step3,Domain2,dog,23,0.8695652173913043,86.96
S2,Step3,Domain2,engine,69,0.6521739130434783,65.22
S2,Step3,Domain2,fire,36,0.4722222222222222,47.22
S2,Step3,Domain2,footsteps,49,0.8775510204081632,87.76
S2,Step3,Domain2,knock,36,0.75,75.0
S2,Step3,Domain2,piano,97,0.865979381443299,86.6
S2,Step3,Domain2,speech,199,0.8743718592964824,87.44
S2,Step3,Domain3,alarm,62,0.8064516129032258,80.65
S2,Step3,Domain3,baby,24,0.0,0.0
S2,Step3,Domain3,dog,77,0.5844155844155844,58.44
S2,Step3,Domain3,engine,85,0.6941176470588235,69.41
S2,Step3,Domain3,fire,37,0.43243243243243246,43.24
S2,Step3,Domain3,footsteps,134,0.5373134328358209,53.73
S2,Step3,Domain3,piano,73,0.9178082191780822,91.78
S2,Step3,Domain3,speech,283,0.4628975265017668,46.29
S2,Step3,Domain3,phone,31,0.03225806451612903,3.23
S3,Step2,Domain2,alarm,130,0.7846153846153846,78.46
S3,Step2,Domain2,dog,23,0.8695652173913043,86.96
S3,Step2,Domain2,engine,69,0.7101449275362319,71.01
S3,Step2,Domain2,fire,36,0.4722222222222222,47.22
S3,Step2,Domain2,footsteps,49,0.8571428571428571,85.71
S3,Step2,Domain2,knock,36,0.8055555555555556,80.56
S3,Step2,Domain2,piano,97,0.7938144329896907,79.38
S3,Step2,Domain2,speech,199,0.8693467336683417,86.93
S3,Step3,Domain2,alarm,130,0.7846153846153846,78.46
S3,Step3,Domain2,dog,23,0.8695652173913043,86.96
S3,Step3,Domain2,engine,69,0.6376811594202898,63.77
S3,Step3,Domain2,fire,36,0.4722222222222222,47.22
S3,Step3,Domain2,footsteps,49,0.9387755102040817,93.88
S3,Step3,Domain2,knock,36,0.6666666666666666,66.67
S3,Step3,Domain2,piano,97,0.8247422680412371,82.47
S3,Step3,Domain2,speech,199,0.8894472361809045,88.94
S3,Step3,Domain3,alarm,62,0.8064516129032258,80.65
S3,Step3,Domain3,baby,24,0.0,0.0
S3,Step3,Domain3,dog,77,0.6103896103896104,61.04
S3,Step3,Domain3,engine,85,0.7058823529411765,70.59
S3,Step3,Domain3,fire,37,0.43243243243243246,43.24
S3,Step3,Domain3,footsteps,134,0.5447761194029851,54.48
S3,Step3,Domain3,piano,73,0.9178082191780822,91.78
S3,Step3,Domain3,speech,283,0.4876325088339223,48.76
S3,Step3,Domain3,phone,31,0.03225806451612903,3.23
S4,Step2,Domain2,alarm,130,0.7846153846153846,78.46
S4,Step2,Domain2,dog,23,0.8695652173913043,86.96
S4,Step2,Domain2,engine,69,0.7101449275362319,71.01
S4,Step2,Domain2,fire,36,0.4722222222222222,47.22
S4,Step2,Domain2,footsteps,49,0.8571428571428571,85.71
S4,Step2,Domain2,knock,36,0.8055555555555556,80.56
S4,Step2,Domain2,piano,97,0.7938144329896907,79.38
S4,Step2,Domain2,speech,199,0.8693467336683417,86.93
S4,Step3,Domain2,alarm,130,0.7769230769230769,77.69
S4,Step3,Domain2,dog,23,0.8695652173913043,86.96
S4,Step3,Domain2,engine,69,0.6376811594202898,63.77
S4,Step3,Domain2,fire,36,0.4722222222222222,47.22
S4,Step3,Domain2,footsteps,49,0.8979591836734694,89.8
S4,Step3,Domain2,knock,36,0.75,75.0
S4,Step3,Domain2,piano,97,0.8556701030927835,85.57
S4,Step3,Domain2,speech,199,0.8743718592964824,87.44
S4,Step3,Domain3,alarm,62,0.8064516129032258,80.65
S4,Step3,Domain3,baby,24,0.0,0.0
S4,Step3,Domain3,dog,77,0.5844155844155844,58.44
S4,Step3,Domain3,engine,85,0.7176470588235294,71.76
S4,Step3,Domain3,fire,37,0.43243243243243246,43.24
S4,Step3,Domain3,footsteps,134,0.5447761194029851,54.48
S4,Step3,Domain3,piano,73,0.9178082191780822,91.78
S4,Step3,Domain3,speech,283,0.48056537102473496,48.06
S4,Step3,Domain3,phone,31,0.0967741935483871,9.68
